mechanism,composition,scale,model,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,reward_inequality_gini_mean,reward_inequality_gini_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,llm_calls_mean,llm_calls_std,llm_total_latency_ms_mean,llm_total_latency_ms_std,llm_avg_latency_ms_mean,llm_avg_latency_ms_std,crisis_rate
independent,standard,standard,google/gemma-4-31b-it,4.588020453506172,,40.34243109536614,,13.0,,128.0,,14.612585745357958,,73.06292872678979,,0.6147513308817454,,0.0,,0.0,,91.36893233799492,,0.0,,34.0,,-7.0,,3.7111683177196655,,8.351760409070124,,65.0,,91366.5090569266,,1405.6386008757936,,1.0
centralized_profit,standard,standard,google/gemma-4-31b-it,4.242155561752405,,34.92696733635273,,18.0,,152.0,,15.694621210574548,,78.47310605287274,,0.6976746248129513,,108.0,,18.0,,189.27967368401005,,0.5555555555555556,,38.0,,-12.0,,1.1282629416376926,,13.344843111235049,,90.0,,189276.34894504445,,2103.070543833828,,1.0
centralized_sustainability,standard,standard,google/gemma-4-31b-it,74.95615627857127,,71.77759681331392,,20.0,,100.0,,19.782743014212365,,98.91371507106184,,0.0087857173550322,,120.0,,20.0,,201.8979448809987,,1.0,,20.0,,20.0,,20.0,,18.91371507106184,,100.0,,201894.0458400466,,2018.940458400466,,0.0
centralized_risk_averse,standard,standard,google/gemma-4-31b-it,74.2414677273465,,69.17677003879393,,20.0,,108.0,,21.38859597969284,,106.9429798984642,,0.0189148277197329,,120.0,,20.0,,253.87668841501,,0.95,,22.0,,20.0,,22.0,,20.942979898464205,,100.0,,253872.8273101005,,2538.728273101005,,0.0
structured_debate,standard,standard,google/gemma-4-31b-it,4.682185639209058,,40.11234523226791,,17.0,,152.0,,17.72683286999295,,88.63416434996475,,0.5944394740310669,,255.0,,34.0,,169.7534153460001,,0.3529411764705882,,40.0,,-8.0,,4.28088490655954,,12.353279443405214,,85.0,,169749.9511759961,,1997.058249129366,,1.0
llm_centralized,standard,standard,google/gemma-4-31b-it,35.43484786650911,,50.12923542687334,,20.0,,154.0,,28.88956111345626,,144.4478055672813,,0.1645721774152876,,120.0,,20.0,,429.9978487810004,,1.0,,39.0,,20.0,,27.662917923615783,,18.784887643665524,,120.0,,429992.2749019897,,3583.268957516581,,0.0
crewai_debate,standard,standard,google/gemma-4-31b-it,35.86300672808705,,50.83301286126274,,20.0,,154.0,,29.023466632255538,,145.11733316127768,,0.1721666896164405,,220.0,,60.0,,5592.354815956001,,1.0,,40.0,,20.0,,26.3477967317068,,18.769536429570888,,320.0,,5231469.611982131,,16348.34253744416,,0.0
independent,aggressive,standard,google/gemma-4-31b-it,4.205089583610189,,43.61354458329424,,9.0,,109.0,,14.944318469969229,,74.72159234984613,,0.2834035808236573,,0.0,,0.0,,132.43219231799594,,0.0,,22.0,,,,4.337490558173926,,4.384101791672203,,45.0,,132430.64666904684,,2942.903259312152,,1.0
centralized_profit,aggressive,standard,google/gemma-4-31b-it,4.205089583610189,,43.61354458329424,,9.0,,109.0,,14.944318469969229,,74.72159234984613,,0.2834035808236573,,54.0,,9.0,,179.44420450799225,,0.0,,22.0,,,,4.337490558173926,,4.384101791672203,,45.0,,179442.6255470462,,3987.613901045471,,1.0
centralized_sustainability,aggressive,standard,google/gemma-4-31b-it,4.205089583610189,,43.61354458329424,,9.0,,109.0,,14.944318469969229,,74.72159234984613,,0.2834035808236573,,54.0,,9.0,,268.612125782005,,0.0,,22.0,,,,4.337490558173926,,4.384101791672203,,45.0,,268610.5011910113,,5969.122248689139,,1.0
centralized_risk_averse,aggressive,standard,google/gemma-4-31b-it,74.01812278214193,,68.44912881990572,,20.0,,110.0,,21.787974230059096,,108.93987115029547,,0.0077850567547814,,120.0,,20.0,,412.30236187299306,,0.95,,22.0,,,,22.0,,20.93987115029548,,100.0,,412298.74656499305,,4122.9874656499305,,0.0
structured_debate,aggressive,standard,google/gemma-4-31b-it,22.09429121478356,,36.49906650470732,,20.0,,153.0,,26.04096936002162,,130.2048468001081,,0.2034971806872809,,300.0,,40.0,,403.8806119429937,,0.9,,34.0,,,,7.554355110788621,,20.650491689319484,,100.0,,403876.6898489557,,4038.766898489557,,0.0
llm_centralized,aggressive,standard,google/gemma-4-31b-it,36.94018261865176,,51.64491069740207,,20.0,,154.0,,29.24206567842536,,146.2103283921268,,0.186875835957157,,120.0,,20.0,,779.9187749410048,,1.0,,38.0,,,,13.48172824825026,,18.728600143876545,,120.0,,779913.7841179618,,6499.281534316348,,0.0
crewai_debate,aggressive,standard,google/gemma-4-31b-it,5.4612557991181045,,35.00397804348712,,20.0,,161.0,,27.06591229689376,,135.32956148446877,,0.2445883995760725,,220.0,,60.0,,4708.623238501998,,0.95,,37.0,,,,3.920336368486411,,20.40922511598236,,320.0,,4708619.271696982,,14714.435224053068,,0.0
independent,conservative,standard,google/gemma-4-31b-it,34.35409328301031,,46.51016269842398,,20.0,,155.0,,28.505387401492904,,142.5269370074645,,0.2293099821340048,,0.0,,0.0,,329.8374422509951,,0.0,,60.0,,20.0,,21.707123446990337,,20.81981356047417,,100.0,,329833.2676000573,,3298.332676000573,,0.0
centralized_profit,conservative,standard,google/gemma-4-31b-it,74.95615627857127,,71.77759681331392,,20.0,,100.0,,19.782743014212365,,98.91371507106184,,0.0087857173550322,,120.0,,20.0,,324.03030828401097,,1.0,,20.0,,20.0,,20.0,,18.91371507106184,,100.0,,324025.9011821472,,3240.259011821472,,0.0
centralized_sustainability,conservative,standard,google/gemma-4-31b-it,74.95615627857127,,71.77759681331392,,20.0,,100.0,,19.782743014212365,,98.91371507106184,,0.0087857173550322,,120.0,,20.0,,214.0513194919913,,1.0,,20.0,,20.0,,20.0,,18.91371507106184,,100.0,,214046.6059310565,,2140.466059310565,,0.0
centralized_risk_averse,conservative,standard,google/gemma-4-31b-it,74.44472174500655,,69.87103883171632,,20.0,,106.0,,20.98751336901456,,104.9375668450728,,0.022870741833983,,120.0,,20.0,,210.55137092099176,,0.95,,22.0,,20.0,,22.0,,20.93756684507281,,100.0,,210546.797521034,,2105.46797521034,,0.0
